################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.7604493974572830E-01 a       218     0    11     1    18
  1.0705196258494274E+00 a       219     0    11     1    19
  1.6483432466826184E+00 a       220     0    11     1    20
  3.5439572969576984E-02 a       221     0    12     1     1
  5.5818121428805789E-01 a       222     0    12     1     2
  3.8662567801927250E-01 a       223     0    12     1     3
 -9.3350243612378245E-02 a       224     0    12     1     4
 -7.7253801532768673E-01 a       225     0    12     1     5
 -4.2395284072587658E-01 a       226     0    12     1     6
  2.7990567279895977E+00 a       227     0    12     1     7
  1.3537121726975773E-01 a       228     0    12     1     8
 -3.5352021527186632E-02 a       229     0    12     1     9
 -6.0563640667396712E-01 a       230     0    12     1    10
  3.4508344089864773E-01 a       231     0    12     1    11
 -3.5563235426461109E-01 a       232     0    12     1    12
  3.0296370206875822E-01 a       233     0    12     1    13
  9.3811768487372038E-01 a       234     0    12     1    14
 -1.8337626061568972E+00 a       235     0    12     1    15
  4.3597511611815326E-01 a       236     0    12     1    16
  3.0885517529858636E-01 a       237     0    12     1    17
  1.1342473348388020E+00 a       238     0    12     1    18
  4.6878868897599318E-01 a       239     0    12     1    19
  1.2157609267361535E+00 a       240     0    12     1    20
 -7.5221998849803751E-01 a       241     0    13     1     1
 -1.0384925020300386E+00 a       242     0    13     1     2
 -7.8512216144602232E-01 a       243     0    13     1     3
  2.1242560757892996E+00 a       244     0    13     1     4
  3.8232696737560085E-01 a       245     0    13     1     5
  3.6162243624905388E-01 a       246     0    13     1     6
 -2.8562764496165967E+00 a       247     0    13     1     7
  4.0056760168699662E-02 a       248     0    13     1     8
 -6.2385781695941345E-01 a       249     0    13     1     9
  1.3253968412373993E+00 a       250     0    13     1    10
  9.3443304513539316E-01 a       251     0    13     1    11
  1.5708785685021185E+00 a       252     0    13     1    12
 -3.8385958945157561E-01 a       253     0    13     1    13
 -5.6966264578217220E-02 a       254     0    13     1    14
  7.6774269596754097E-01 a       255     0    13     1    15
  4.2958452661100560E-01 a       256     0    13     1    16
 -8.5893089971832248E-01 a       257     0    13     1    17
 -9.5275580829196671E-01 a       258     0    13     1    18
 -7.0726536872222534E-01 a       259     0    13     1    19
  4.2863558242115340E-01 a       260     0    13     1    20
  1.6300391634726425E-02 a       261     0    14     1     1
 -1.2354715684903692E-01 a       262     0    14     1     2
 -6.1910515947350290E-03 a       263     0    14     1     3
  2.6962442221527810E-01 a       264     0    14     1     4
  4.0072699713265875E-01 a       265     0    14     1     5
  8.6192650840945254E-02 a       266     0    14     1     6
 -1.3726837179495199E+00 a       267     0    14     1     7
 -1.6439198099398941E-01 a       268     0    14     1     8
  2.3702751151086079E-01 a       269     0    14     1     9
  2.1287528893408142E-05 a       270     0    14     1    10
  1.5363124248517174E-01 a       271     0    14     1    11
  4.7125113170001137E-01 a       272     0    14     1    12
  2.1068534344658946E-01 a       273     0    14     1    13
 -5.5588918813181676E-01 a       274     0    14     1    14
  7.8243851636196993E-01 a       275     0    14     1    15
 -2.2250994974795785E-01 a       276     0    14     1    16
 -3.1766608210301472E-01 a       277     0    14     1    17
 -4.1097914539595454E-01 a       278     0    14     1    18
 -8.7658351265722134E-02 a       279     0    14     1    19
 -2.7115240054070233E-01 a       280     0    14     1    20
 -1.4000039198780699E-02 a       281     0    15     1     1
  5.4070676810248108E-01 a       282     0    15     1     2
  6.6191681147332607E-02 a       283     0    15     1     3
 -5.4888271022282165E-01 a       284     0    15     1     4
 -3.1356954042077018E-01 a       285     0    15     1     5
  1.4971159050262406E-01 a       286     0    15     1     6
  1.5191514601265512E+00 a       287     0    15     1     7
 -1.5538857482105919E-01 a       288     0    15     1     8
  1.0874092150697744E-01 a       289     0    15     1     9
 -2.0551011491703217E-01 a       290     0    15     1    10
  1.7082372364368936E-01 a       291     0    15     1    11
 -2.3548811531345976E-01 a       292     0    15     1    12
  1.2207128761066013E-01 a       293     0    15     1    13
 -1.6130441103476600E-01 a       294     0    15     1    14
  2.9542874901844968E-01 a       295     0    15     1    15
  1.4790886742656217E-01 a       296     0    15     1    16
  4.9383760198475574E-01 a       297     0    15     1    17
  1.9356268573850116E-01 a       298     0    15     1    18
 -1.7032480657338056E-01 a       299     0    15     1    19
 -2.2596120571750572E-01 a       300     0    15     1    20
 -9.4684685703193175E-02 a       301     0    16     1     1
  4.4845240789866736E-02 a       302     0    16     1     2
  3.4067411253276933E-02 a       303     0    16     1     3
 -1.8631022940931188E-01 a       304     0    16     1     4
 -1.4232171933120430E-01 a       305     0    16     1     5
  2.1065935991262677E-02 a       306     0    16     1     6
  4.1886385106210877E-01 a       307     0    16     1     7
 -7.5505533389432722E-02 a       308     0    16     1     8
 -1.6747392676090414E-01 a       309     0    16     1     9
 -2.9150974040105981E-02 a       310     0    16     1    10
  2.9713587965152782E-01 a       311     0    16     1    11
  3.4065831082960463E-01 a       312     0    16     1    12
  1.0879369167713507E-01 a       313     0    16     1    13
  5.8943853173270583E-02 a       314     0    16     1    14
 -1.8073304091467027E-01 a       315     0    16     1    15
 -4.9095506846112587E-02 a       316     0    16     1    16
 -1.3959376534569568E-01 a       317     0    16     1    17
 -2.3002212859426659E-02 a       318     0    16     1    18
 -4.2236315542061960E-03 a       319     0    16     1    19
  3.2953819824623581E-01 a       320     0    16     1    20
 -6.6099002852203798E-02 a       321     0    17     1     1
 -6.9100167256540301E-01 a       322     0    17     1     2
 -6.8901333150323474E-01 a       323     0    17     1     3
  8.9978569411821474E-01 a       324     0    17     1     4
  3.7942419502922314E-01 a       325     0    17     1     5
 -3.4354481250514451E-01 a       326     0    17     1     6
 -1.2358969837296458E+00 a       327     0    17     1     7
  1.8379626972890609E-01 a       328     0    17     1     8
 -5.2480526864638355E-01 a       329     0    17     1     9
  1.2295886464065553E+00 a       330     0    17     1    10
  6.0808404898183244E-01 a       331     0    17     1    11
  6.9092613391129987E-01 a       332     0    17     1    12
 -2.8552677661680223E-02 a       333     0    17     1    13
 -2.3322203755632511E-02 a       334     0    17     1    14
  4.3263021341659591E-01 a       335     0    17     1    15
  1.1766773703836614E-01 a       336     0    17     1    16
 -2.8539640051773324E-01 a       337     0    17     1    17
 -3.3607523851441828E-01 a       338     0    17     1    18
 -5.4736889257732742E-02 a       339     0    17     1    19
  1.5738058744787755E+00 a       340     0    17     1    20
  2.3992432507087977E-01 a       341     0    18     1     1
  1.1563451082063472E+00 a       342     0    18     1     2
