################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.1165815065282523E+01 a       185     0    12     1     9
  4.4399508503415689E+01 a       186     0    12     1    10
  6.0600852230406659E+00 a       187     0    12     1    11
  1.6608447370886807E+01 a       188     0    12     1    12
 -5.1943805896905708E+01 a       189     0    12     1    13
 -2.4301678638862313E+01 a       190     0    12     1    14
 -6.1651813411919974E+01 a       191     0    12     1    15
 -4.2075259461588974E+00 a       192     0    12     1    16
  3.5637254700205210E+00 a       193     0    13     1     1
  3.1129463154685201E+01 a       194     0    13     1     2
  3.4089182127797187E+01 a       195     0    13     1     3
  1.8188127763948181E+01 a       196     0    13     1     4
 -3.1190805958474221E-01 a       197     0    13     1     5
  4.9314764663245960E+01 a       198     0    13     1     6
 -1.9278668106966073E+00 a       199     0    13     1     7
 -3.9441807673665309E+01 a       200     0    13     1     8
  2.3130918506945207E+01 a       201     0    13     1     9
 -1.4604894982177193E+01 a       202     0    13     1    10
  2.7133436091278988E+01 a       203     0    13     1    11
 -5.9985429888688602E+00 a       204     0    13     1    12
 -1.3814886768217796E+01 a       205     0    13     1    13
 -2.7843454578990357E+01 a       206     0    13     1    14
  3.6762811800819371E+01 a       207     0    13     1    15
 -8.2353867381099093E+00 a       208     0    13     1    16
  6.2322508093301794E+00 a       209     0    14     1     1
  1.9936447240289244E+01 a       210     0    14     1     2
  1.2385543217290925E+01 a       211     0    14     1     3
 -1.5799605310472614E+01 a       212     0    14     1     4
 -1.0190371726621361E+01 a       213     0    14     1     5
  6.1303153198676030E+00 a       214     0    14     1     6
  1.4802057256142461E+01 a       215     0    14     1     7
  5.1537600414108926E+00 a       216     0    14     1     8
  9.6610339208471174E+00 a       217     0    14     1     9
 -6.7389499115643501E+00 a       218     0    14     1    10
  9.7685396007622032E+00 a       219     0    14     1    11
  2.2770911265783975E+00 a       220     0    14     1    12
  2.3487422612970406E+00 a       221     0    14     1    13
  1.4811612788607327E+01 a       222     0    14     1    14
  2.8442362120534270E+01 a       223     0    14     1    15
 -7.1704220433807873E+00 a       224     0    14     1    16
 -9.7012880838533597E+00 a       225     0    15     1     1
  1.2439416394950477E+01 a       226     0    15     1     2
  1.9826094875845598E+01 a       227     0    15     1     3
 -6.8557213398008415E+01 a       228     0    15     1     4
  1.1407617011221575E+02 a       229     0    15     1     5
 -1.1824197015232304E+01 a       230     0    15     1     6
  2.5401578992934493E+00 a       231     0    15     1     7
 -3.0769031220626587E+01 a       232     0    15     1     8
  5.8014642743378907E+01 a       233     0    15     1     9
  6.7967109815363100E+00 a       234     0    15     1    10
  8.3687800562318804E-01 a       235     0    15     1    11
 -2.7575462641713482E+01 a       236     0    15     1    12
  1.8980988555183004E+01 a       237     0    15     1    13
  4.0534921269290092E-02 a       238     0    15     1    14
 -5.7439060336024774E+01 a       239     0    15     1    15
  1.8255648098364986E+01 a       240     0    15     1    16
  3.5808064939059503E+00 a       241     0    16     1     1
  4.1510712395056517E+00 a       242     0    16     1     2
  2.6597219668556007E+00 a       243     0    16     1     3
  3.9039521181272643E+00 a       244     0    16     1     4
 -3.9278767526511466E-01 a       245     0    16     1     5
  7.3558476472742633E+00 a       246     0    16     1     6
 -1.3458273775842100E+00 a       247     0    16     1     7
