################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.3345152881078999E+00 a       365     0    23     1    13
 -5.0488692210261883E+00 a       366     0    23     1    14
 -9.8310643217158142E-02 a       367     0    23     1    15
 -1.1638335795586014E+01 a       368     0    23     1    16
  2.9526851862843612E-01 a       369     0    24     1     1
 -2.6720711755046476E+00 a       370     0    24     1     2
 -5.3034731096980883E+00 a       371     0    24     1     3
 -4.0073134931166177E+00 a       372     0    24     1     4
  1.5033178392132345E+00 a       373     0    24     1     5
  3.8235762911595778E-01 a       374     0    24     1     6
 -4.5043276363602001E+00 a       375     0    24     1     7
 -3.5851432082555572E+00 a       376     0    24     1     8
 -3.5061433190463949E+00 a       377     0    24     1     9
 -3.1929277148901849E+00 a       378     0    24     1    10
 -1.0182693924737662E+00 a       379     0    24     1    11
  3.8492232140569844E+00 a       380     0    24     1    12
  1.1542476319125410E+00 a       381     0    24     1    13
 -7.0175728746407984E-01 a       382     0    24     1    14
 -2.4805176294098660E-01 a       383     0    24     1    15
 -6.3424781165623323E-01 a       384     0    24     1    16
 -8.5261276673951747E-01 a       385     0    25     1     1
 -1.6136839145653820E+01 a       386     0    25     1     2
 -1.9499345903950778E+00 a       387     0    25     1     3
 -2.2263987090151387E+00 a       388     0    25     1     4
 -4.1068055336702602E-01 a       389     0    25     1     5
 -1.3835674563721942E-01 a       390     0    25     1     6
  1.0848306785268986E+00 a       391     0    25     1     7
 -5.0956718493227315E+00 a       392     0    25     1     8
  1.3517409510925067E+00 a       393     0    25     1     9
  2.0126825156831849E+00 a       394     0    25     1    10
  5.8547810814240835E+00 a       395     0    25     1    11
  9.3317999891146872E+00 a       396     0    25     1    12
 -1.9193646823863841E+00 a       397     0    25     1    13
  2.5888052802255488E+00 a       398     0    25     1    14
  1.2575175534817800E+00 a       399     0    25     1    15
 -1.1807885722457113E+01 a       400     0    25     1    16
 -9.8032321134956607E-02 a       401     0    26     1     1
 -2.7019284254640374E+00 a       402     0    26     1     2
 -1.4940980385304176E-01 a       403     0    26     1     3
  5.5981192533645805E+00 a       404     0    26     1     4
