################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.3089932561950732E+00 a       492     0    31     1    12
 -8.2917831882123423E+00 a       493     0    31     1    13
 -5.0079098348144671E+00 a       494     0    31     1    14
 -1.3361535247541923E+01 a       495     0    31     1    15
 -1.6073244468317728E+01 a       496     0    31     1    16
  9.4911787873389084E+00 a       497     0    32     1     1
  1.0399706066839054E+01 a       498     0    32     1     2
  1.3649750263663041E+01 a       499     0    32     1     3
 -4.2570783528726700E+01 a       500     0    32     1     4
  1.4740363673978367E+01 a       501     0    32     1     5
 -1.8519180206615658E+01 a       502     0    32     1     6
 -2.1098658006368730E+01 a       503     0    32     1     7
  2.2988667068437096E+01 a       504     0    32     1     8
  3.1086858629001238E+01 a       505     0    32     1     9
  3.9792945659915029E+00 a       506     0    32     1    10
 -1.8475093672789288E+01 a       507     0    32     1    11
 -3.6145856217575769E+00 a       508     0    32     1    12
 -8.7549294608932673E+00 a       509     0    32     1    13
  2.7977213284250073E+00 a       510     0    32     1    14
  1.0302942386927894E+01 a       511     0    32     1    15
